Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
150215 - Canaã dos Carajás;93,29%;96,03%;83,56%;94,79%;62,47%;71,16%;95,75%;93,84%;70,48%;75,82%;95,89%;92,60%;91,37%;94,66%;87,19%;87,05%;91,92%;58,63%;56,78%
150277 - Curionópolis;80,82%;102,86%;109,39%;82,45%;86,12%;102,04%;101,63%;74,29%;103,27%;120,82%;102,86%;106,12%;114,69%;103,27%;113,47%;103,67%;114,69%;89,39%;89,80%
150293 - Dom Eliseu;111,05%;92,88%;88,01%;94,76%;60,67%;86,89%;92,88%;109,36%;89,33%;91,01%;92,88%;90,64%;94,01%;88,20%;92,13%;88,58%;88,76%;70,97%;70,04%
150295 - Eldorado do Carajás;70,44%;96,54%;117,92%;78,62%;69,81%;101,26%;97,48%;66,04%;100,94%;120,13%;96,54%;102,83%;109,75%;96,86%;109,43%;98,43%;113,21%;71,70%;76,42%
150370 - Itupiranga;106,53%;81,62%;92,44%;71,99%;61,17%;79,38%;82,13%;103,44%;77,15%;91,58%;81,62%;80,41%;85,91%;79,90%;102,92%;75,95%;85,05%;44,33%;47,77%
150420 - Marabá;37,62%;85,39%;92,68%;94,94%;60,52%;87,15%;85,21%;37,10%;76,04%;91,89%;85,39%;96,41%;97,30%;85,01%;94,03%;89,09%;88,39%;60,93%;60,61%
150497 - Nova Ipixuna;76,56%;120,31%;128,91%;79,69%;87,50%;119,53%;121,09%;64,84%;118,75%;132,81%;120,31%;107,81%;128,91%;121,88%;126,56%;107,03%;139,84%;121,09%;126,56%
150549 - Palestina do Pará;38,55%;101,20%;84,34%;61,45%;73,49%;69,88%;100,00%;40,96%;91,57%;92,77%;101,20%;106,02%;89,16%;96,39%;68,67%;92,77%;90,36%;77,11%;78,31%
150553 - Parauapebas;99,57%;87,30%;82,81%;87,94%;56,10%;91,63%;85,33%;97,77%;81,80%;96,60%;87,35%;96,52%;95,56%;86,74%;92,82%;86,82%;93,65%;66,30%;53,23%
150563 - Piçarra;108,33%;102,08%;83,33%;84,72%;79,17%;84,03%;102,08%;109,03%;100,69%;95,14%;102,78%;111,81%;100,69%;100,69%;93,06%;104,86%;91,67%;73,61%;74,31%
150618 - Rondon do Pará;102,63%;111,96%;103,35%;87,80%;85,41%;102,15%;112,44%;100,24%;110,29%;112,20%;111,72%;110,53%;112,68%;109,81%;100,00%;103,83%;109,81%;96,65%;96,41%
150715 - São Domingos do Araguaia;30,39%;74,91%;87,99%;61,13%;44,17%;76,33%;74,56%;29,68%;79,15%;84,10%;74,91%;83,39%;86,57%;72,79%;90,81%;78,09%;87,99%;63,96%;63,60%
150745 - São Geraldo do Araguaia;74,66%;101,03%;95,89%;69,52%;79,11%;93,15%;101,71%;67,81%;102,40%;111,30%;101,03%;101,37%;105,14%;101,03%;101,71%;86,99%;100,68%;58,90%;50,68%
150750 - São João do Araguaia;13,08%;119,23%;141,54%;83,08%;90,00%;121,54%;119,23%;10,77%;110,77%;139,23%;118,46%;112,31%;128,46%;103,08%;132,31%;103,08%;128,46%;102,31%;97,69%
Totais;88,85%;87,97%;92,34%;78,19%;67,31%;82,94%;87,97%;81,14%;87,81%;96,67%;87,92%;91,35%;94,39%;86,46%;89,25%;84,99%;87,52%;58,58%;55,30%
150178 - Breu Branco;88,93%;87,45%;90,04%;60,15%;59,59%;75,09%;87,45%;71,59%;80,26%;94,46%;87,45%;90,04%;94,65%;83,58%;88,56%;82,10%;88,38%;56,46%;55,17%
150309 - Goianésia do Pará;91,80%;79,50%;83,60%;63,72%;60,88%;80,76%;79,81%;87,70%;70,03%;80,76%;79,50%;82,65%;82,97%;82,02%;83,28%;76,97%;79,50%;50,47%;50,16%
150380 - Jacundá;89,15%;83,40%;93,62%;79,36%;70,64%;85,53%;83,19%;91,70%;83,62%;92,98%;83,40%;87,02%;93,83%;81,91%;91,91%;81,70%;95,32%;74,68%;74,26%
150506 - Novo Repartimento;89,82%;90,84%;98,87%;67,42%;52,38%;80,32%;90,72%;71,38%;81,79%;96,15%;90,72%;91,97%;96,72%;86,88%;90,05%;84,84%;71,15%;41,29%;41,40%
150795 - Tailândia;108,88%;92,90%;101,07%;103,37%;88,54%;96,00%;92,98%;104,80%;102,04%;109,77%;92,90%;99,20%;102,58%;92,18%;99,20%;93,25%;101,95%;64,83%;54,00%
150810 - Tucuruí;66,52%;85,26%;81,26%;73,61%;61,78%;75,07%;85,26%;63,06%;88,72%;90,90%;85,17%;87,81%;87,53%;84,90%;79,34%;81,80%;84,44%;62,60%;61,24%
;80,37%;79,77%;81,41%;76,27%;56,63%;72,79%;79,85%;74,06%;77,07%;83,16%;79,76%;85,32%;87,54%;81,15%;88,28%;78,50%;83,44%;58,27%;54,74%
Totais;84,25%;77,44%;81,87%;78,11%;53,68%;71,05%;77,54%;75,37%;77,60%;84,88%;77,43%;85,09%;88,73%;80,01%;91,66%;78,02%;84,39%;56,96%;52,37%
150040 - Alenquer;83,88%;45,29%;80,26%;86,51%;32,46%;62,61%;45,61%;70,39%;63,93%;71,05%;45,18%;86,51%;84,10%;61,51%;86,07%;72,26%;86,95%;56,03%;49,67%
150050 - Almeirim;86,81%;85,47%;87,95%;87,19%;64,44%;85,66%;85,09%;89,48%;85,28%;87,19%;85,66%;86,23%;91,01%;84,89%;91,97%;80,69%;93,69%;86,23%;72,47%
150145 - Belterra;88,14%;90,12%;90,51%;72,33%;64,82%;79,45%;91,70%;69,17%;86,56%;83,00%;90,12%;90,51%;87,35%;92,89%;96,44%;88,14%;83,00%;61,26%;57,31%
150285 - Curuá;100,61%;129,27%;117,68%;146,95%;92,68%;107,93%;129,88%;67,68%;115,24%;126,22%;129,27%;121,95%;132,32%;132,32%;128,05%;113,41%;121,34%;85,98%;68,29%
150300 - Faro;109,21%;118,42%;144,74%;123,68%;96,05%;123,68%;118,42%;102,63%;132,89%;130,26%;118,42%;134,21%;139,47%;121,05%;136,84%;118,42%;121,05%;102,63%;96,05%
150390 - Juruti;91,15%;84,87%;96,86%;88,24%;56,81%;77,30%;84,75%;95,81%;87,08%;96,04%;84,87%;92,08%;95,34%;87,78%;101,40%;82,31%;94,30%;71,13%;62,51%
150475 - Mojuí dos Campos;92,74%;112,90%;116,53%;102,02%;78,63%;91,13%;113,31%;80,65%;118,95%;119,35%;112,90%;112,90%;123,79%;114,52%;131,45%;108,47%;123,39%;77,02%;56,45%
150480 - Monte Alegre;96,24%;93,60%;87,08%;75,91%;65,87%;91,59%;93,35%;81,43%;95,11%;102,76%;93,60%;104,77%;103,89%;88,33%;97,49%;93,22%;87,70%;63,99%;61,73%
150510 - Óbidos;81,00%;87,16%;84,47%;82,93%;58,92%;76,51%;87,29%;71,50%;84,08%;88,70%;87,16%;80,87%;89,99%;84,08%;84,85%;77,79%;81,13%;63,93%;56,23%
150530 - Oriximiná;95,68%;72,87%;90,75%;88,49%;38,23%;84,69%;72,76%;89,31%;72,76%;99,18%;72,87%;83,76%;102,06%;78,52%;95,27%;72,66%;96,71%;58,89%;57,04%
150565 - Placas;96,98%;87,55%;100,38%;77,74%;66,04%;107,17%;87,92%;93,21%;83,77%;100,00%;87,55%;92,08%;101,89%;89,43%;103,02%;87,55%;105,28%;88,68%;76,23%
150600 - Prainha;75,94%;85,74%;80,93%;71,12%;60,96%;72,37%;85,38%;69,52%;75,58%;75,94%;85,74%;83,60%;87,52%;83,24%;85,92%;77,72%;84,67%;54,19%;46,88%
150680 - Santarém;77,84%;70,39%;70,18%;68,25%;49,96%;56,71%;70,55%;68,50%;68,78%;74,41%;70,37%;76,16%;77,38%;73,04%;85,83%;70,97%;73,32%;43,89%;42,76%
150797 - Terra Santa;86,03%;107,42%;94,76%;80,79%;74,67%;91,27%;107,86%;59,83%;106,11%;108,73%;107,42%;112,66%;113,10%;106,99%;102,18%;109,61%;99,13%;75,98%;72,49%
Totais;71,71%;79,43%;75,55%;66,68%;54,52%;67,13%;79,45%;68,41%;72,03%;76,07%;79,37%;80,31%;81,87%;78,71%;84,26%;73,71%;78,23%;53,30%;51,00%
150100 - Aveiro;33,56%;86,99%;104,79%;108,22%;47,95%;82,19%;84,93%;18,49%;60,96%;86,30%;86,30%;71,92%;86,99%;77,40%;136,30%;60,96%;97,95%;43,84%;37,67%
150360 - Itaituba;67,73%;76,53%;62,73%;57,48%;48,57%;53,64%;76,82%;62,38%;67,68%;68,78%;76,53%;74,78%;74,14%;77,34%;75,31%;71,35%;73,73%;43,80%;42,63%
150375 - Jacareacanga;35,29%;41,53%;49,02%;43,67%;30,12%;42,07%;41,35%;31,19%;35,29%;40,82%;41,53%;50,27%;51,52%;39,39%;54,37%;39,57%;44,74%;29,59%;30,66%
150503 - Novo Progresso;104,98%;104,41%;114,37%;91,38%;75,29%;107,28%;104,02%;109,00%;102,68%;116,67%;104,21%;107,66%;116,48%;103,83%;112,26%;97,70%;103,83%;82,18%;73,18%
150619 - Rurópolis;91,92%;93,59%;90,81%;84,68%;69,08%;88,02%;93,87%;96,38%;88,58%;87,19%;93,59%;96,94%;91,92%;91,64%;93,04%;91,92%;85,24%;73,54%;70,47%
150805 - Trairão;111,00%;112,92%;108,61%;82,30%;96,65%;98,56%;113,40%;103,35%;109,09%;102,87%;112,92%;115,31%;119,62%;111,48%;116,75%;102,39%;115,31%;94,74%;94,74%
Totais;77,48%;85,40%;84,43%;78,71%;64,89%;80,73%;85,44%;74,96%;79,34%;84,13%;85,40%;89,37%;88,76%;85,48%;83,30%;82,94%;84,89%;64,75%;62,82%
150060 - Altamira;64,49%;86,47%;86,00%;76,69%;65,41%;83,05%;86,47%;61,89%;83,69%;88,78%;86,29%;91,73%;91,50%;87,74%;85,60%;86,23%;82,76%;62,70%;61,19%
150085 - Anapu;85,04%;99,33%;101,79%;94,64%;72,32%;93,53%;99,78%;85,04%;94,42%;106,25%;99,55%;98,44%;105,13%;97,99%;100,00%;86,83%;104,46%;74,33%;72,77%
150172 - Brasil Novo;71,49%;82,33%;93,57%;86,35%;69,48%;92,77%;81,93%;71,08%;79,92%;92,77%;82,33%;86,75%;93,57%;83,13%;88,76%;83,94%;89,56%;79,12%;81,12%
150445 - Medicilândia;84,38%;88,02%;76,56%;78,39%;71,61%;75,00%;87,50%;80,21%;84,64%;81,77%;88,02%;91,15%;88,02%;85,16%;76,56%;85,42%;77,86%;64,32%;60,68%
150548 - Pacajá;86,33%;79,93%;84,60%;72,66%;64,71%;82,35%;79,58%;94,46%;73,70%;82,53%;79,93%;81,31%;85,47%;79,24%;84,95%;76,64%;91,18%;62,28%;61,25%
150590 - Porto de Moz;90,66%;76,46%;77,43%;73,35%;56,03%;70,43%;77,24%;77,43%;71,98%;67,51%;76,46%;89,69%;77,43%;81,13%;70,04%;78,60%;75,29%;53,31%;50,78%
150780 - Senador José Porfírio;57,14%;64,81%;60,28%;57,14%;45,99%;60,28%;64,81%;46,69%;63,41%;63,07%;64,81%;66,20%;60,28%;63,07%;64,46%;60,63%;56,45%;49,48%;49,48%
150815 - Uruará;96,81%;92,61%;88,74%;75,63%;68,57%;81,34%;92,61%;94,79%;67,56%;77,31%;92,61%;93,11%;93,78%;89,92%;88,07%;89,24%;95,13%;76,64%;71,43%
150835 - Vitória do Xingu;78,88%;89,64%;76,89%;113,94%;64,54%;78,09%;90,04%;78,09%;88,05%;85,66%;90,44%;92,43%;88,45%;88,84%;76,10%;82,47%;84,06%;66,53%;64,54%
;93,16%;92,45%;91,05%;83,86%;68,08%;82,42%;92,55%;88,04%;86,57%;89,13%;92,41%;93,38%;93,95%;90,92%;95,04%;88,39%;93,12%;71,22%;58,72%
Totais;83,57%;88,51%;87,18%;81,17%;66,18%;80,81%;88,58%;76,89%;83,71%;86,83%;88,41%;88,88%;92,26%;86,50%;94,71%;81,26%;92,40%;63,94%;50,34%
150020 - Acará;71,88%;72,92%;80,86%;74,87%;57,16%;72,14%;73,44%;60,16%;72,92%;79,56%;72,79%;79,43%;85,68%;73,18%;85,16%;67,71%;77,86%;40,89%;36,72%
150190 - Bujaru;78,41%;120,60%;107,31%;88,04%;92,36%;105,65%;121,59%;71,10%;104,32%;100,66%;120,60%;113,29%;111,96%;114,62%;109,30%;100,33%;117,28%;85,71%;83,39%
150260 - Colares;69,00%;104,00%;109,00%;89,00%;81,00%;97,00%;105,00%;63,00%;80,00%;84,00%;104,00%;97,00%;100,00%;98,00%;130,00%;90,00%;114,00%;103,00%;87,00%
150275 - Concórdia do Pará;95,16%;105,11%;100,00%;92,20%;70,43%;98,92%;104,57%;93,28%;98,12%;93,82%;105,38%;101,34%;98,66%;100,27%;104,03%;97,31%;102,15%;93,55%;68,01%
150650 - Santa Izabel do Pará;83,78%;88,44%;73,87%;62,76%;58,86%;68,02%;88,14%;81,53%;85,89%;76,43%;88,44%;86,64%;81,83%;87,24%;78,08%;81,68%;83,63%;53,90%;46,55%
150700 - Santo Antônio do Tauá;54,03%;71,34%;66,27%;68,36%;53,73%;61,79%;71,04%;51,04%;61,49%;68,66%;71,34%;72,54%;69,85%;68,66%;89,25%;66,57%;81,49%;45,07%;42,39%
150710 - São Caetano de Odivelas;60,87%;115,22%;119,57%;130,43%;89,86%;118,12%;114,49%;51,45%;112,32%;131,88%;115,22%;100,72%;127,54%;112,32%;131,16%;98,55%;132,61%;95,65%;70,29%
150800 - Tomé-Açu;103,39%;91,80%;92,25%;93,14%;77,18%;89,57%;92,16%;99,20%;91,27%;96,70%;91,62%;96,70%;102,14%;91,27%;98,13%;88,59%;102,05%;78,88%;50,00%
150820 - Vigia;79,77%;72,41%;81,61%;67,82%;41,84%;59,54%;71,72%;62,99%;62,30%;74,94%;71,95%;68,28%;79,54%;68,28%;94,71%;62,53%;71,72%;36,55%;34,48%
Totais;100,03%;92,42%;92,39%;86,58%;68,80%;87,59%;92,42%;97,19%;87,53%;89,58%;92,40%;94,61%;93,62%;91,75%;94,16%;89,94%;93,03%;73,42%;63,50%
150095 - Aurora do Pará;94,10%;92,13%;94,43%;88,85%;81,64%;90,49%;92,13%;86,89%;92,13%;90,49%;92,46%;100,00%;90,16%;91,15%;92,13%;86,56%;92,46%;75,41%;81,97%
150230 - Capitão Poço;79,28%;92,04%;92,94%;73,12%;75,83%;86,64%;91,44%;70,87%;92,64%;96,25%;91,89%;94,29%;94,74%;92,19%;92,19%;84,08%;100,45%;85,14%;55,56%
150240 - Castanhal;99,69%;87,24%;98,27%;86,39%;59,67%;92,17%;87,02%;98,09%;86,04%;91,69%;87,15%;92,62%;96,00%;87,95%;96,75%;90,53%;89,51%;66,87%;52,29%
150290 - Curuçá;82,01%;94,99%;94,69%;91,45%;75,22%;89,97%;95,28%;79,65%;87,91%;91,74%;94,99%;88,79%;97,35%;93,51%;103,54%;89,68%;110,62%;80,24%;59,88%
150307 - Garrafão do Norte;106,06%;97,31%;101,68%;105,39%;74,07%;98,32%;96,97%;102,69%;94,28%;99,66%;97,31%;94,95%;98,99%;92,59%;106,40%;92,93%;103,70%;84,85%;82,83%
150320 - Igarapé-Açu;82,01%;97,69%;89,46%;93,57%;73,26%;81,75%;97,17%;79,69%;95,12%;89,46%;97,69%;93,57%;87,15%;96,66%;92,54%;90,75%;83,29%;75,32%;71,72%
150340 - Inhangapi;80,88%;87,50%;75,00%;80,15%;70,59%;74,26%;87,50%;82,35%;85,29%;70,59%;87,50%;91,18%;66,91%;88,24%;78,68%;90,44%;80,15%;79,41%;81,62%
150345 - Ipixuna do Pará;69,92%;81,50%;81,10%;70,73%;56,71%;73,37%;81,71%;62,40%;80,69%;81,10%;81,50%;80,69%;82,11%;78,86%;85,57%;75,61%;83,74%;49,80%;36,18%
150350 - Irituia;98,93%;117,86%;108,93%;95,71%;90,36%;103,21%;117,86%;92,86%;109,64%;118,93%;117,86%;105,00%;117,86%;112,14%;110,36%;104,29%;112,14%;95,00%;85,36%
150405 - Mãe do Rio;107,60%;105,23%;93,59%;104,99%;82,19%;100,24%;105,70%;105,23%;100,00%;97,86%;105,46%;103,33%;102,14%;105,23%;95,96%;96,20%;102,38%;95,25%;81,47%
150410 - Magalhães Barata;113,41%;87,80%;101,22%;97,56%;80,49%;103,66%;87,80%;117,07%;89,02%;98,78%;87,80%;97,56%;93,90%;85,37%;112,20%;90,24%;107,32%;110,98%;106,10%
150430 - Maracanã;66,55%;79,00%;73,67%;69,04%;57,30%;64,41%;79,00%;61,57%;76,16%;74,38%;79,00%;76,87%;76,51%;75,80%;87,54%;72,60%;77,58%;55,16%;53,38%
150440 - Marapanim;88,73%;109,86%;85,92%;85,45%;73,71%;74,65%;109,86%;87,32%;101,88%;86,38%;109,86%;106,57%;90,14%;111,74%;86,38%;100,94%;86,38%;80,28%;79,81%
150495 - Nova Esperança do Piriá;95,24%;82,94%;82,54%;86,11%;63,89%;81,35%;82,54%;91,67%;84,52%;90,08%;83,33%;107,54%;106,75%;83,73%;86,11%;87,30%;87,70%;48,41%;39,68%
150550 - Paragominas;137,83%;88,23%;86,93%;71,93%;61,59%;84,13%;88,51%;135,46%;70,35%;74,59%;88,23%;96,41%;90,95%;89,66%;86,86%;89,88%;91,03%;72,65%;63,75%
150660 - Santa Maria do Pará;110,42%;86,64%;80,78%;97,72%;51,14%;74,59%;86,64%;111,07%;86,97%;81,11%;86,64%;85,99%;83,39%;85,34%;90,55%;86,97%;91,86%;64,17%;58,31%
150720 - São Domingos do Capim;100,85%;109,58%;96,62%;99,72%;93,80%;94,93%;109,86%;96,34%;104,79%;99,15%;109,30%;112,39%;103,10%;108,73%;103,66%;105,35%;97,75%;88,45%;87,89%
150740 - São Francisco do Pará;90,36%;99,40%;96,39%;90,36%;73,49%;86,75%;100,00%;89,76%;96,99%;89,16%;100,00%;92,77%;88,55%;97,59%;97,59%;93,98%;101,81%;93,37%;83,13%
150746 - São João da Ponta;82,35%;80,88%;64,71%;80,88%;63,24%;64,71%;80,88%;86,76%;89,71%;79,41%;80,88%;88,24%;75,00%;82,35%;72,06%;72,06%;86,76%;63,24%;67,65%
150760 - São Miguel do Guamá;104,96%;94,74%;98,39%;86,72%;76,06%;92,99%;95,18%;105,11%;90,66%;93,58%;94,74%;95,62%;96,06%;91,24%;101,17%;92,41%;98,83%;81,90%;74,74%
150796 - Terra Alta;82,27%;87,94%;78,72%;74,47%;68,09%;68,09%;87,94%;79,43%;73,05%;77,30%;87,23%;81,56%;73,76%;80,14%;77,30%;74,47%;77,30%;53,19%;51,06%
150812 - Ulianópolis;100,00%;104,31%;101,72%;130,17%;81,03%;97,13%;104,31%;98,28%;95,11%;106,32%;104,02%;96,55%;100,86%;104,31%;98,28%;97,41%;91,38%;60,06%;61,78%
Totais;88,48%;95,36%;91,61%;81,20%;68,24%;74,82%;95,66%;80,65%;87,02%;90,04%;95,35%;94,58%;95,74%;92,74%;96,77%;90,94%;93,80%;72,79%;56,74%
150090 - Augusto Corrêa;95,33%;106,23%;96,54%;83,04%;67,99%;78,72%;106,40%;87,89%;95,85%;92,04%;106,23%;101,73%;96,19%;101,90%;102,94%;94,64%;102,42%;80,97%;48,62%
150160 - Bonito;78,57%;88,31%;96,10%;86,36%;89,61%;85,06%;88,31%;68,83%;87,01%;100,65%;88,31%;87,01%;100,00%;86,36%;111,69%;76,62%;112,34%;84,42%;62,99%
150170 - Bragança;90,38%;98,21%;93,47%;78,49%;59,52%;67,08%;98,21%;83,51%;80,96%;88,25%;98,08%;97,66%;99,79%;95,60%;100,96%;95,67%;93,13%;74,36%;69,48%
150195 - Cachoeira do Piriá;79,36%;100,92%;110,09%;92,20%;61,01%;59,63%;100,46%;57,34%;88,99%;101,38%;100,46%;102,75%;100,92%;92,66%;106,42%;96,33%;88,53%;49,08%;33,94%
150220 - Capanema;80,00%;85,52%;89,38%;72,97%;68,00%;86,07%;86,21%;76,41%;85,79%;89,38%;85,52%;87,31%;94,90%;85,24%;93,66%;84,97%;92,69%;72,00%;72,41%
150500 - Nova Timboteua;116,00%;119,00%;115,00%;91,00%;108,00%;116,00%;121,00%;114,00%;115,00%;111,00%;120,00%;118,00%;112,00%;118,00%;115,00%;114,00%;96,00%;94,00%;78,00%
150540 - Ourém;79,26%;82,03%;85,25%;63,59%;68,20%;89,40%;82,03%;70,51%;84,33%;82,95%;82,03%;83,41%;82,49%;81,11%;94,47%;83,41%;86,18%;62,21%;44,70%
150560 - Peixe-Boi;68,33%;76,67%;76,67%;93,33%;60,00%;71,67%;75,00%;63,33%;76,67%;75,00%;75,00%;71,67%;76,67%;80,00%;103,33%;75,00%;75,00%;61,67%;63,33%
150610 - Primavera;105,56%;119,44%;112,96%;74,07%;112,04%;115,74%;119,44%;104,63%;122,22%;104,63%;119,44%;120,37%;107,41%;119,44%;118,52%;115,74%;107,41%;117,59%;83,33%
150611 - Quatipuru;100,94%;123,58%;99,06%;77,36%;107,55%;92,45%;123,58%;94,34%;122,64%;101,89%;123,58%;121,70%;105,66%;125,47%;97,17%;112,26%;96,23%;91,51%;55,66%
150620 - Salinópolis;82,23%;91,46%;89,55%;85,71%;74,22%;66,55%;91,81%;67,07%;87,63%;92,86%;91,46%;91,64%;94,60%;88,85%;93,03%;89,55%;101,05%;84,15%;65,68%
150655 - Santa Luzia do Pará;94,34%;101,42%;98,11%;110,85%;77,83%;81,13%;101,89%;91,51%;98,58%;100,47%;101,42%;96,70%;102,83%;98,11%;102,36%;93,40%;97,17%;69,34%;45,75%
150690 - Santarém Novo;63,79%;94,83%;100,00%;86,21%;96,55%;94,83%;94,83%;65,52%;84,48%;93,10%;94,83%;100,00%;98,28%;91,38%;120,69%;100,00%;118,97%;103,45%;84,48%
150747 - São João de Pirabas;94,52%;94,52%;92,24%;81,74%;71,23%;72,60%;94,52%;88,13%;91,32%;101,37%;94,52%;94,52%;99,09%;93,15%;91,32%;88,13%;91,78%;74,43%;53,88%
150803 - Tracuateua;96,44%;106,80%;83,17%;83,82%;73,79%;73,46%;106,80%;91,91%;99,68%;86,41%;107,12%;105,18%;94,50%;101,94%;93,53%;100,00%;97,73%;69,58%;41,10%
150830 - Viseu;88,80%;82,10%;77,87%;79,64%;53,83%;64,34%;83,20%;78,96%;69,95%;76,37%;82,24%;80,19%;84,02%;78,55%;77,46%;76,23%;78,55%;50,96%;25,55%
;80,14%;72,72%;79,19%;70,93%;52,94%;70,33%;72,81%;73,11%;72,91%;80,37%;72,73%;79,10%;81,56%;73,42%;82,16%;72,76%;81,85%;55,14%;51,06%
Totais;78,39%;75,03%;76,48%;72,18%;54,22%;73,21%;75,01%;72,16%;74,83%;81,39%;75,05%;79,88%;82,17%;75,28%;81,33%;75,42%;83,65%;57,18%;56,61%
150080 - Ananindeua;86,42%;85,09%;76,47%;64,91%;55,45%;71,78%;85,39%;79,71%;77,96%;78,87%;85,13%;84,61%;81,85%;84,84%;76,41%;81,35%;77,40%;53,24%;52,73%
150140 - Belém;74,67%;68,13%;74,04%;73,47%;51,33%;71,73%;67,99%;68,45%;70,55%;79,21%;68,12%;75,70%;79,66%;68,81%;80,49%;70,59%;83,89%;56,76%;57,09%
150150 - Benevides;90,16%;97,72%;84,31%;76,75%;77,32%;84,17%;97,86%;88,16%;97,29%;92,58%;98,00%;102,28%;92,87%;98,15%;93,30%;96,15%;95,58%;77,32%;60,63%
150442 - Marituba;75,38%;89,62%;93,55%;84,24%;63,65%;83,71%;89,44%;67,77%;91,23%;101,70%;89,62%;89,17%;100,00%;87,47%;97,31%;88,09%;98,12%;62,22%;62,04%
150635 - Santa Bárbara do Pará;81,63%;80,41%;93,88%;82,86%;60,00%;93,47%;80,41%;77,96%;81,22%;111,02%;80,41%;82,86%;96,73%;80,41%;110,20%;75,92%;93,47%;73,47%;72,65%
Totais;83,76%;80,95%;84,36%;75,22%;62,49%;73,42%;81,01%;78,98%;81,29%;85,31%;80,95%;85,06%;84,92%;79,96%;84,04%;78,32%;82,49%;60,28%;52,40%
150010 - Abaetetuba;62,67%;79,74%;83,40%;66,81%;55,65%;70,26%;79,79%;58,80%;78,06%;85,65%;79,69%;84,24%;85,18%;80,16%;85,76%;77,96%;82,09%;47,12%;46,81%
150120 - Baião;76,52%;98,99%;103,54%;104,04%;81,06%;95,45%;98,99%;72,73%;93,69%;104,04%;99,24%;102,02%;107,58%;100,25%;103,54%;93,43%;111,36%;82,32%;79,55%
150130 - Barcarena;114,00%;96,62%;96,74%;91,28%;79,12%;90,72%;96,50%;109,15%;108,29%;104,79%;96,68%;101,04%;97,11%;92,63%;97,36%;92,51%;84,52%;70,82%;67,14%
150210 - Cametá;98,67%;86,62%;88,64%;86,56%;73,23%;80,24%;86,79%;95,37%;85,69%;90,15%;86,56%;90,09%;91,19%;84,36%;88,59%;84,82%;100,23%;80,24%;57,42%
150330 - Igarapé-Miri;90,35%;85,53%;89,36%;73,68%;57,89%;73,25%;85,31%;78,95%;79,93%;86,95%;85,53%;90,90%;88,16%;84,65%;86,29%;85,64%;82,46%;62,39%;60,75%
150400 - Limoeiro do Ajuru;89,60%;84,10%;83,79%;63,61%;57,80%;63,00%;84,10%;80,43%;82,87%;80,12%;84,10%;84,10%;74,62%;81,04%;84,10%;72,17%;77,37%;50,15%;48,62%
150460 - Mocajuba;92,74%;96,85%;102,42%;79,18%;90,07%;94,67%;97,58%;90,80%;98,79%;94,43%;96,85%;101,69%;108,72%;96,61%;88,62%;96,37%;107,75%;96,37%;56,66%
150470 - Moju;38,07%;41,21%;50,17%;43,78%;27,66%;37,63%;41,32%;34,04%;43,34%;50,06%;41,32%;45,58%;48,71%;41,66%;45,35%;38,97%;39,19%;28,89%;27,66%
150520 - Oeiras do Pará;78,68%;49,22%;56,01%;56,98%;34,50%;42,64%;49,42%;75,97%;36,82%;46,12%;49,03%;53,10%;51,55%;52,91%;64,73%;46,12%;54,07%;20,16%;16,09%
Totais;82,53%;72,55%;80,24%;72,29%;50,82%;71,63%;72,72%;67,99%;70,78%;79,05%;72,59%;76,82%;82,37%;71,01%;86,93%;70,52%;85,29%;57,98%;43,66%
150030 - Afuá;74,25%;54,73%;65,55%;65,05%;46,64%;58,08%;54,85%;69,78%;60,82%;70,90%;54,85%;59,45%;71,02%;53,23%;68,78%;53,86%;75,62%;45,90%;31,97%
150200 - Cachoeira do Arari;62,81%;84,30%;80,58%;48,76%;52,89%;72,73%;84,30%;52,48%;68,18%;76,86%;84,71%;80,99%;83,06%;84,30%;76,45%;70,66%;95,04%;74,38%;67,36%
150250 - Chaves;66,05%;56,09%;87,08%;57,93%;51,29%;61,25%;56,09%;55,35%;59,41%;70,11%;55,72%;71,22%;76,01%;55,35%;87,82%;56,83%;79,70%;50,92%;47,97%
150490 - Muaná;104,67%;78,90%;83,16%;87,42%;36,51%;79,92%;79,31%;75,86%;89,66%;87,42%;78,90%;111,76%;103,65%;77,89%;89,86%;80,32%;80,32%;69,37%;47,46%
150570 - Ponta de Pedras;84,53%;96,60%;99,62%;93,58%;64,91%;100,75%;95,85%;72,08%;94,72%;107,17%;96,60%;95,47%;106,79%;95,09%;109,81%;92,08%;113,58%;90,94%;81,89%
150630 - Salvaterra;77,73%;72,87%;77,73%;72,06%;54,25%;55,06%;73,28%;63,97%;77,33%;74,49%;72,87%;72,87%;75,71%;70,45%;71,66%;73,28%;75,71%;51,82%;40,08%
150640 - Santa Cruz do Arari;77,78%;58,33%;68,06%;61,11%;19,44%;41,67%;59,72%;62,50%;58,33%;68,06%;58,33%;44,44%;73,61%;47,22%;88,89%;55,56%;62,50%;36,11%;23,61%
