Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
120020 - Cruzeiro do Sul;103,18%;78,07%;74,04%;65,09%;56,91%;77,09%;78,07%;104,09%;80,66%;80,01%;78,07%;87,15%;79,17%;80,99%;73,91%;81,70%;92,02%;25,50%;48,93%
120030 - Feijó;83,14%;62,97%;48,23%;54,48%;49,76%;54,60%;62,97%;68,51%;73,11%;68,63%;62,97%;77,95%;55,19%;66,27%;47,41%;63,44%;62,62%;33,49%;39,74%
120033 - Mâncio Lima;97,74%;77,97%;70,34%;51,13%;59,60%;74,58%;77,97%;99,15%;84,75%;78,53%;77,97%;87,85%;79,38%;79,38%;68,64%;81,07%;77,68%;22,32%;50,85%
120035 - Marechal Thaumaturgo;66,83%;45,61%;58,78%;70,98%;43,41%;63,66%;45,61%;64,15%;50,00%;58,78%;45,61%;53,17%;59,51%;47,80%;65,12%;48,05%;51,22%;2,68%;20,00%
120039 - Porto Walter;75,33%;76,21%;91,63%;86,34%;66,08%;94,71%;75,33%;76,65%;85,46%;102,64%;75,33%;81,50%;100,88%;83,26%;90,75%;76,21%;85,90%;47,14%;54,19%
120042 - Rodrigues Alves;79,86%;50,18%;52,30%;48,76%;40,99%;49,82%;50,18%;86,57%;50,53%;58,30%;50,18%;57,60%;62,54%;49,12%;50,88%;54,06%;61,13%;18,73%;28,98%
120060 - Tarauacá;63,27%;60,35%;46,11%;58,14%;49,47%;42,48%;60,18%;80,62%;62,65%;60,88%;60,18%;69,29%;60,00%;65,75%;45,40%;56,46%;65,04%;25,84%;31,15%
;95,60%;81,78%;78,09%;71,21%;70,08%;82,62%;81,75%;95,41%;88,83%;91,72%;81,74%;88,68%;86,99%;84,85%;79,57%;79,30%;85,61%;51,39%;61,02%
;75,97%;67,11%;65,93%;56,00%;60,54%;69,26%;67,06%;69,80%;72,29%;73,19%;67,06%;75,88%;71,85%;71,73%;66,27%;66,39%;78,82%;46,91%;53,89%
Totais;77,20%;64,25%;62,25%;63,94%;61,56%;69,34%;64,37%;74,35%;69,61%;73,04%;64,25%;76,00%;73,54%;70,26%;63,33%;63,64%;82,05%;31,12%;42,18%
130100 - Carauari;60,00%;55,93%;58,33%;73,52%;41,30%;65,19%;55,93%;79,26%;47,59%;58,70%;55,93%;60,93%;66,85%;58,15%;58,33%;52,22%;68,52%;32,59%;35,56%
130140 - Eirunepé;89,29%;83,10%;63,05%;68,54%;74,04%;76,24%;83,38%;82,97%;88,74%;86,68%;83,10%;89,29%;81,87%;88,19%;65,66%;73,08%;89,97%;38,32%;37,64%
130150 - Envira;98,06%;68,06%;77,74%;75,81%;74,84%;73,55%;68,06%;95,81%;82,26%;84,84%;68,06%;86,13%;85,81%;73,23%;76,45%;76,77%;89,35%;70,65%;78,06%
130165 - Guajará;84,28%;56,52%;65,89%;64,88%;64,55%;83,61%;56,52%;83,95%;61,54%;80,60%;56,52%;73,58%;83,28%;70,90%;68,23%;58,86%;91,97%;31,10%;48,16%
130180 - Ipixuna;55,80%;60,99%;56,54%;45,93%;61,48%;57,78%;61,23%;37,78%;70,12%;62,47%;60,99%;74,81%;60,74%;64,94%;57,78%;59,26%;96,30%;9,63%;49,14%
130195 - Itamarati;78,98%;42,68%;55,73%;47,45%;51,59%;57,64%;42,68%;62,74%;57,64%;60,83%;42,68%;64,97%;60,83%;52,87%;56,05%;58,60%;51,91%;0,64%;14,01%
Totais;78,61%;80,35%;77,46%;68,03%;66,95%;77,39%;80,38%;72,05%;81,87%;84,11%;80,35%;86,23%;83,36%;82,84%;75,93%;76,37%;88,81%;49,66%;61,94%
130002 - Alvarães;93,79%;84,31%;98,69%;88,24%;71,90%;97,71%;84,31%;84,31%;87,25%;95,42%;84,31%;90,85%;95,10%;88,24%;95,42%;83,66%;99,02%;17,65%;66,01%
130210 - Japurá;15,61%;47,32%;48,78%;58,54%;36,59%;48,29%;47,32%;6,34%;51,22%;43,90%;47,32%;57,07%;44,39%;52,68%;46,34%;51,71%;43,41%;17,07%;17,07%
130220 - Juruá;52,63%;51,05%;46,32%;61,05%;37,37%;42,11%;51,05%;43,68%;49,47%;55,79%;51,05%;60,00%;54,74%;51,58%;40,53%;55,79%;47,37%;14,21%;19,47%
130280 - Maraã;69,89%;48,12%;57,26%;68,82%;45,16%;59,41%;48,12%;55,91%;61,83%;65,05%;48,12%;57,80%;58,60%;53,49%;55,38%;50,27%;61,56%;32,80%;42,20%
130420 - Tefé;80,92%;90,73%;83,06%;66,56%;73,41%;82,62%;90,79%;80,70%;90,57%;88,98%;90,73%;94,79%;90,24%;92,00%;82,51%;83,00%;98,74%;64,04%;71,98%
130426 - Uarini;116,93%;93,42%;85,58%;66,46%;87,77%;88,71%;93,42%;88,71%;89,34%;110,34%;93,42%;100,31%;103,76%;97,49%;83,70%;89,97%;107,84%;59,87%;77,74%
Totais;74,16%;61,69%;61,69%;46,86%;56,96%;65,20%;61,55%;66,86%;68,62%;67,85%;61,59%;70,71%;65,48%;66,82%;62,66%;62,55%;72,58%;51,86%;54,58%
130006 - Amaturá;81,25%;85,83%;78,75%;65,00%;82,50%;80,83%;85,83%;66,67%;94,17%;82,50%;85,83%;87,92%;72,50%;91,67%;82,08%;84,58%;88,75%;75,83%;77,08%
130020 - Atalaia do Norte;65,74%;43,18%;46,80%;50,14%;34,82%;54,87%;42,90%;71,31%;44,01%;54,32%;43,18%;56,82%;56,55%;48,47%;43,45%;48,75%;49,58%;9,75%;21,17%
130060 - Benjamin Constant;41,61%;54,73%;51,98%;39,98%;47,71%;43,54%;54,32%;42,01%;62,87%;54,63%;54,32%;64,60%;52,19%;60,02%;56,36%;61,34%;53,20%;41,61%;41,61%
130160 - Fonte Boa;87,24%;65,17%;78,28%;54,48%;64,31%;81,21%;64,83%;74,31%;80,52%;84,14%;64,83%;83,62%;79,48%;75,34%;78,79%;72,59%;90,86%;24,31%;47,76%
130230 - Jutaí;62,29%;51,91%;47,33%;41,83%;57,86%;64,27%;51,91%;50,08%;59,69%;64,12%;51,91%;59,85%;60,61%;56,95%;51,91%;55,42%;94,81%;38,47%;53,59%
130370 - Santo Antônio do Içá;86,91%;68,95%;62,69%;38,35%;64,89%;73,12%;68,95%;67,79%;70,68%;71,61%;68,95%;75,78%;68,02%;70,22%;66,40%;67,79%;76,36%;56,89%;64,89%
130390 - São Paulo de Olivença;55,45%;51,89%;49,48%;40,88%;40,25%;47,69%;51,89%;49,79%;55,87%;46,65%;51,89%;60,59%;49,90%;57,65%;42,66%;51,36%;53,88%;57,97%;41,51%
130406 - Tabatinga;96,23%;63,91%;68,28%;54,81%;59,73%;70,30%;63,77%;94,28%;72,73%;75,49%;63,91%;72,66%;72,19%;68,62%;67,74%;61,75%;73,67%;61,35%;53,67%
130423 - Tonantins;94,62%;93,55%;92,74%;50,54%;86,56%;105,11%;93,55%;78,49%;99,73%;102,69%;93,55%;94,62%;98,66%;98,92%;101,34%;81,45%;102,69%;105,38%;132,26%
;91,49%;87,04%;83,85%;70,12%;71,87%;88,52%;87,04%;89,67%;89,82%;92,81%;87,00%;93,41%;90,84%;91,59%;86,69%;84,24%;88,20%;50,57%;57,25%
Totais;94,56%;95,63%;89,66%;73,33%;76,12%;94,88%;95,73%;94,78%;91,46%;93,48%;95,63%;98,86%;94,43%;99,49%;91,90%;87,12%;92,03%;55,84%;72,03%
130014 - Apuí;103,66%;89,74%;93,77%;77,66%;77,66%;92,67%;89,74%;100,73%;104,76%;100,73%;89,74%;98,90%;95,24%;95,60%;96,70%;96,70%;99,27%;10,62%;93,04%
130080 - Borba;82,67%;81,94%;88,11%;60,21%;68,58%;90,31%;81,94%;78,12%;79,00%;89,13%;81,94%;80,32%;86,64%;88,11%;89,72%;72,39%;94,86%;56,98%;80,62%
130170 - Humaitá;99,05%;100,53%;95,66%;91,64%;82,01%;102,22%;100,63%;111,43%;95,45%;93,12%;100,53%;106,77%;100,53%;102,96%;99,05%;95,24%;86,03%;58,41%;82,12%
130270 - Manicoré;84,59%;94,10%;83,39%;68,85%;74,75%;90,60%;94,10%;87,10%;88,31%;90,49%;94,10%;90,27%;90,82%;96,50%;83,50%;80,00%;92,24%;50,93%;49,07%
130330 - Novo Aripuanã;124,78%;117,87%;89,63%;57,64%;77,23%;96,83%;118,44%;97,69%;102,88%;105,19%;117,87%;136,31%;102,02%;123,34%;95,10%;105,19%;96,54%;95,10%;71,76%
Totais;114,73%;99,17%;92,39%;80,68%;83,74%;98,33%;99,06%;113,45%;101,36%;100,73%;99,03%;103,96%;98,71%;101,67%;94,37%;95,76%;99,79%;53,30%;43,75%
130190 - Itacoatiara;117,27%;95,98%;87,09%;76,41%;77,59%;95,47%;96,03%;116,49%;97,76%;96,53%;95,98%;101,12%;94,13%;97,82%;89,83%;91,56%;94,80%;40,64%;34,60%
130200 - Itapiranga;120,65%;111,96%;99,46%;100,54%;101,09%;98,37%;111,96%;120,65%;118,48%;109,78%;111,96%;123,37%;111,41%;117,93%;103,26%;116,85%;113,59%;81,52%;59,24%
130395 - São Sebastião do Uatumã;91,11%;105,56%;98,33%;66,11%;97,78%;92,22%;105,56%;96,67%;105,00%;107,22%;105,56%;113,89%;108,89%;110,00%;103,89%;106,11%;105,56%;41,11%;65,56%
130400 - Silves;100,52%;94,85%;94,85%;95,88%;89,18%;100,52%;94,33%;98,45%;100,52%;103,61%;93,81%;103,61%;102,06%;97,94%;96,39%;97,94%;101,03%;71,13%;63,40%
130430 - Urucará;111,07%;104,92%;97,13%;92,21%;97,54%;107,38%;103,69%;107,38%;109,02%;106,56%;104,10%;104,92%;106,15%;107,79%;98,36%;99,59%;108,61%;92,21%;50,41%
130440 - Urucurituba;122,65%;104,88%;111,50%;83,62%;86,76%;110,80%;104,88%;115,68%;104,53%;110,10%;104,88%;102,44%;104,18%;107,32%;106,27%;97,21%;110,10%;76,66%;58,19%
Totais;74,29%;73,10%;74,22%;61,02%;61,19%;77,66%;73,10%;70,67%;81,20%;87,22%;73,10%;82,73%;83,20%;79,47%;78,04%;74,74%;77,99%;45,07%;55,49%
130050 - Barreirinha;67,68%;61,60%;67,17%;49,05%;62,99%;69,96%;61,60%;47,78%;68,95%;68,95%;61,60%;69,71%;70,60%;64,13%;68,19%;62,10%;76,17%;60,96%;63,75%
130068 - Boa Vista do Ramos;118,18%;110,98%;107,95%;65,15%;108,71%;132,58%;110,98%;99,24%;115,53%;132,58%;110,98%;111,36%;112,12%;125,38%;112,50%;104,92%;112,88%;103,03%;104,92%
130290 - Maués;87,45%;75,89%;73,08%;60,91%;51,79%;75,29%;75,89%;59,92%;76,12%;81,29%;75,89%;81,75%;78,02%;77,64%;75,13%;70,65%;64,79%;8,14%;36,05%
130300 - Nhamundá;60,93%;85,43%;87,42%;91,06%;68,54%;95,03%;85,43%;64,90%;104,64%;124,83%;85,43%;84,11%;96,36%;93,05%;88,41%;85,76%;98,34%;86,09%;92,38%
130340 - Parintins;63,26%;68,42%;70,95%;60,68%;59,06%;71,73%;68,42%;85,47%;81,32%;86,60%;68,42%;84,74%;86,09%;78,52%;77,68%;77,01%;79,92%;49,75%;52,61%
;101,57%;84,41%;79,97%;75,37%;72,14%;84,78%;84,38%;103,29%;92,88%;96,26%;84,38%;90,95%;90,06%;86,75%;81,43%;81,54%;86,79%;52,73%;63,69%
Totais;105,92%;85,55%;81,05%;75,80%;74,91%;86,33%;85,51%;106,89%;95,74%;98,06%;85,51%;92,42%;91,31%;87,57%;82,90%;83,23%;87,37%;54,18%;65,62%
130030 - Autazes;108,30%;94,87%;77,29%;78,27%;78,27%;81,44%;94,87%;97,31%;91,94%;96,09%;94,87%;96,21%;95,73%;98,90%;81,07%;82,91%;86,57%;54,46%;54,21%
130040 - Barcelos;41,10%;56,16%;49,90%;24,46%;39,73%;50,68%;56,16%;22,90%;52,64%;57,73%;56,16%;58,71%;59,88%;56,56%;47,75%;46,58%;52,25%;22,70%;26,61%
130110 - Careiro;84,02%;78,22%;77,59%;65,56%;57,05%;83,20%;78,22%;70,75%;82,78%;92,74%;78,22%;82,99%;86,72%;81,33%;81,95%;71,78%;106,64%;27,18%;62,66%
130115 - Careiro da Várzea;29,81%;73,08%;75,48%;78,85%;53,37%;79,33%;73,08%;29,33%;67,31%;75,48%;73,08%;72,12%;74,04%;75,96%;76,92%;69,23%;88,94%;36,54%;23,56%
130185 - Iranduba;100,00%;99,18%;90,21%;75,74%;81,86%;101,63%;99,18%;99,90%;108,26%;118,35%;99,18%;104,08%;102,75%;101,43%;90,52%;93,27%;115,90%;54,03%;75,33%
130255 - Manaquiri;89,92%;126,47%;138,66%;102,52%;98,32%;131,93%;126,47%;84,03%;128,99%;146,22%;126,47%;135,29%;144,96%;133,19%;136,13%;120,59%;128,57%;10,08%;100,84%
130260 - Manaus;112,94%;88,05%;83,03%;78,64%;77,85%;88,34%;88,01%;115,57%;99,81%;101,18%;88,00%;95,40%;93,79%;89,91%;85,25%;86,33%;87,83%;56,87%;68,33%
130310 - Nova Olinda do Norte;58,88%;77,33%;69,60%;49,03%;60,81%;80,14%;77,15%;50,44%;65,55%;70,12%;77,33%;85,41%;77,50%;78,56%;61,16%;68,72%;92,44%;34,09%;41,83%
130353 - Presidente Figueiredo;66,41%;65,46%;62,60%;68,32%;60,11%;75,38%;65,27%;67,18%;73,47%;81,30%;65,27%;76,53%;78,05%;70,42%;66,60%;70,04%;77,86%;40,27%;54,01%
130356 - Rio Preto da Eva;72,19%;100,00%;96,63%;105,62%;81,18%;104,21%;100,00%;68,26%;100,84%;110,39%;100,00%;105,90%;107,02%;105,34%;102,53%;93,26%;113,48%;51,97%;60,96%
130360 - Santa Isabel do Rio Negro;49,07%;40,00%;51,20%;45,60%;35,47%;53,33%;40,00%;38,40%;46,13%;55,20%;40,00%;40,27%;48,00%;39,47%;50,40%;35,20%;58,67%;29,07%;33,60%
130380 - São Gabriel da Cachoeira;45,77%;39,81%;49,58%;39,11%;37,38%;49,65%;39,67%;36,48%;44,73%;49,65%;39,81%;43,00%;47,36%;42,44%;47,16%;37,79%;59,36%;41,96%;40,57%
Totais;82,68%;82,32%;79,93%;75,55%;60,56%;82,97%;82,32%;92,07%;83,50%;94,36%;82,32%;89,22%;91,64%;86,37%;79,31%;75,28%;89,78%;51,50%;61,53%
130008 - Anamã;48,96%;41,67%;73,96%;83,85%;40,63%;79,17%;41,67%;44,27%;48,96%;74,48%;41,67%;49,48%;71,35%;48,96%;72,40%;42,71%;82,81%;66,67%;80,21%
130010 - Anori;90,38%;87,02%;125,48%;91,83%;89,42%;116,35%;87,02%;79,33%;89,90%;104,81%;87,02%;97,12%;106,25%;93,27%;112,50%;87,02%;110,58%;81,73%;83,65%
130063 - Beruri;93,15%;99,32%;93,84%;83,33%;86,07%;106,85%;99,32%;74,66%;99,77%;119,63%;99,32%;101,83%;109,59%;100,23%;94,98%;94,52%;111,64%;71,92%;83,56%
130083 - Caapiranga;95,32%;90,64%;90,64%;76,61%;77,78%;104,09%;90,64%;66,08%;118,13%;114,04%;90,64%;104,68%;109,36%;100,58%;91,81%;87,72%;94,15%;48,54%;51,46%
130120 - Coari;104,24%;85,19%;73,00%;69,63%;63,57%;72,66%;85,19%;102,09%;90,64%;90,44%;85,19%;88,89%;84,11%;87,14%;73,40%;75,42%;85,66%;45,72%;51,99%
130130 - Codajás;88,58%;91,88%;97,72%;62,94%;74,87%;101,27%;91,88%;82,23%;94,16%;107,61%;91,88%;93,91%;107,87%;95,94%;97,97%;84,77%;108,12%;52,28%;79,70%
130250 - Manacapuru;63,14%;75,76%;77,44%;80,14%;49,34%;80,24%;75,76%;100,66%;74,59%;92,26%;75,76%;88,65%;92,72%;81,01%;76,43%;70,47%;86,76%;52,60%;64,15%
130320 - Novo Airão;89,84%;91,48%;53,44%;62,95%;46,23%;60,66%;91,48%;79,02%;66,89%;67,87%;91,48%;81,31%;67,54%;95,74%;54,75%;71,15%;61,97%;13,77%;14,75%
Totais;71,06%;70,55%;62,77%;68,15%;51,93%;63,77%;70,51%;68,99%;66,56%;71,34%;70,55%;71,02%;66,84%;74,57%;62,34%;67,48%;71,30%;32,16%;37,35%
130070 - Boca do Acre;78,43%;73,08%;60,71%;81,87%;57,83%;55,22%;73,08%;83,24%;64,01%;67,58%;73,08%;66,90%;54,26%;74,86%;57,14%;67,31%;76,10%;25,27%;28,98%
130090 - Canutama;34,41%;79,03%;78,49%;76,88%;66,67%;77,42%;78,49%;47,85%;94,09%;86,56%;79,03%;89,78%;86,02%;79,57%;76,88%;83,87%;86,02%;52,69%;66,67%
130240 - Lábrea;77,74%;87,10%;74,09%;54,38%;53,89%;75,55%;87,10%;75,30%;74,21%;82,24%;87,10%;80,78%;80,66%;89,54%;74,82%;74,70%;79,32%;35,40%;35,89%
130350 - Pauini;40,46%;46,44%;43,30%;74,36%;34,76%;60,40%;46,44%;24,79%;47,86%;59,26%;46,44%;51,00%;58,97%;52,42%;49,00%;47,58%;59,83%;33,90%;33,90%
130410 - Tapauá;86,97%;50,24%;53,55%;62,32%;45,73%;52,37%;50,24%;78,20%;59,48%;59,95%;50,24%;67,54%;59,72%;61,14%;51,66%;63,03%;50,47%;27,25%;44,55%
;68,03%;64,30%;57,49%;56,20%;56,81%;65,21%;64,03%;66,52%;71,20%;71,44%;64,01%;70,91%;67,96%;66,11%;59,63%;66,03%;74,83%;43,55%;58,97%
;68,03%;64,30%;57,49%;56,20%;56,81%;65,21%;64,03%;66,52%;71,20%;71,44%;64,01%;70,91%;67,96%;66,11%;59,63%;66,03%;74,83%;43,55%;58,97%
Totais;62,77%;58,45%;53,32%;56,79%;53,53%;62,02%;58,13%;60,91%;68,22%;69,47%;58,08%;67,07%;65,10%;60,53%;56,58%;62,83%;70,90%;45,51%;57,54%
160005 - Serra do Navio;83,61%;114,75%;106,56%;81,97%;95,08%;122,95%;114,75%;77,05%;104,92%;119,67%;114,75%;113,11%;111,48%;113,11%;100,00%;114,75%;139,34%;95,08%;121,31%
160015 - Pedra Branca do Amapari;84,64%;76,79%;78,57%;63,57%;66,43%;87,86%;76,79%;80,36%;80,71%;91,07%;76,79%;80,36%;87,86%;77,86%;78,21%;73,93%;74,29%;57,50%;76,43%
160021 - Cutias;85,96%;88,60%;53,51%;69,30%;60,53%;61,40%;88,60%;83,33%;78,07%;69,30%;88,60%;87,72%;80,70%;95,61%;63,16%;79,82%;84,21%;47,37%;57,89%
160023 - Ferreira Gomes;71,22%;85,61%;82,73%;76,98%;84,89%;92,81%;84,17%;64,75%;84,89%;84,17%;84,17%;94,24%;87,05%;89,21%;88,49%;85,61%;96,40%;69,06%;89,21%
160025 - Itaubal;98,32%;111,76%;99,16%;53,78%;73,95%;119,33%;111,76%;92,44%;88,24%;136,13%;111,76%;91,60%;128,57%;114,29%;94,12%;78,99%;124,37%;117,65%;130,25%
160030 - Macapá;59,83%;54,56%;49,92%;55,29%;51,39%;58,55%;54,24%;58,69%;66,12%;66,63%;54,17%;64,36%;61,65%;56,58%;53,78%;60,52%;68,61%;43,32%;54,01%
160053 - Porto Grande;82,01%;78,96%;69,51%;68,60%;60,06%;73,48%;78,66%;70,73%;80,49%;75,61%;78,96%;80,79%;77,13%;81,40%;64,02%;74,39%;72,26%;38,72%;69,51%
Totais;77,76%;93,01%;52,66%;40,91%;64,73%;66,56%;92,77%;75,46%;74,19%;68,71%;93,01%;81,02%;65,53%;93,88%;50,83%;73,71%;77,60%;40,51%;58,54%
160010 - Amapá;61,36%;101,52%;83,33%;59,85%;100,76%;89,39%;101,52%;50,76%;93,18%;103,79%;101,52%;93,94%;99,24%;100,76%;87,12%;83,33%;108,33%;75,76%;81,82%
160020 - Calçoene;54,07%;98,26%;64,53%;81,98%;70,93%;72,67%;97,67%;46,51%;81,98%;88,37%;98,26%;83,14%;65,12%;102,33%;69,77%;79,07%;85,47%;61,05%;69,77%
160050 - Oiapoque;79,07%;64,15%;32,59%;31,22%;48,20%;52,66%;64,15%;80,96%;54,55%;40,82%;64,15%;66,21%;43,05%;65,52%;28,99%;57,29%;58,49%;27,79%;42,54%
160055 - Pracuúba;30,26%;81,58%;53,95%;36,84%;63,16%;90,79%;81,58%;30,26%;76,32%;92,11%;81,58%;75,00%;88,16%;88,16%;50,00%;68,42%;86,84%;56,58%;77,63%
160070 - Tartarugalzinho;108,45%;145,95%;71,28%;28,72%;78,04%;73,99%;145,27%;104,05%;99,32%;90,54%;145,95%;104,73%;89,19%;143,24%;66,89%;100,00%;94,59%;33,78%;68,24%
Totais;78,01%;68,43%;70,28%;60,61%;62,31%;73,01%;68,24%;77,71%;77,83%;77,64%;68,21%;77,03%;76,41%;69,88%;71,03%;71,40%;84,01%;39,61%;62,86%
160027 - Laranjal do Jari;85,52%;84,85%;76,60%;72,22%;78,11%;78,45%;84,68%;96,30%;87,54%;84,68%;84,85%;89,73%;83,16%;86,87%;77,78%;83,33%;83,50%;63,47%;76,09%
160040 - Mazagão;77,92%;64,17%;70,63%;48,54%;59,17%;76,46%;64,17%;71,88%;71,67%;75,63%;64,17%;74,17%;77,92%;67,71%;68,33%;66,25%;77,92%;34,17%;45,63%
160060 - Santana;71,09%;60,77%;65,75%;55,27%;56,62%;68,55%;60,51%;68,55%;73,07%;73,07%;60,40%;71,67%;72,03%;61,86%;67,57%;66,79%;85,63%;27,50%;57,39%
160080 - Vitória do Jari;116,31%;98,71%;90,99%;100,00%;75,54%;88,84%;98,71%;118,03%;105,15%;101,72%;98,71%;94,85%;92,27%;97,42%;87,98%;89,70%;84,55%;90,13%;109,87%
;73,88%;72,98%;63,75%;72,36%;56,45%;72,09%;72,88%;68,19%;77,46%;78,28%;72,88%;80,26%;75,99%;75,62%;67,21%;75,69%;74,73%;36,72%;46,24%
;84,96%;81,94%;71,80%;80,42%;63,36%;81,30%;81,88%;81,69%;88,11%;88,09%;81,88%;91,26%;86,33%;84,95%;76,10%;85,11%;78,67%;37,34%;55,16%
Totais;94,87%;90,14%;77,70%;81,09%;72,46%;84,79%;90,11%;89,63%;95,45%;95,25%;90,11%;95,18%;91,65%;91,96%;80,27%;90,10%;90,79%;36,16%;62,92%
150034 - Água Azul do Norte;112,90%;97,70%;99,54%;101,38%;90,78%;97,70%;97,70%;103,69%;126,73%;116,13%;97,70%;115,67%;106,91%;106,91%;102,76%;113,36%;94,01%;37,79%;85,71%
150125 - Bannach;120,83%;87,50%;110,42%;122,92%;97,92%;118,75%;87,50%;110,42%;87,50%;114,58%;87,50%;110,42%;110,42%;89,58%;120,83%;110,42%;114,58%;77,08%;145,83%
150270 - Conceição do Araguaia;97,97%;90,99%;80,52%;80,09%;78,78%;83,43%;90,84%;92,59%;101,45%;103,49%;90,99%;96,08%;93,46%;90,55%;80,23%;91,86%;93,46%;49,71%;70,06%
150276 - Cumaru do Norte;75,61%;82,93%;77,44%;54,27%;67,07%;87,80%;82,93%;68,29%;64,02%;82,93%;82,93%;84,76%;79,88%;87,80%;78,66%;75,61%;84,76%;48,78%;82,32%
150304 - Floresta do Araguaia;119,88%;101,53%;90,83%;81,04%;89,60%;97,25%;101,53%;105,81%;97,55%;98,47%;101,53%;102,45%;89,91%;101,22%;86,24%;99,08%;91,44%;24,77%;66,06%
150543 - Ourilândia do Norte;88,48%;81,21%;66,67%;74,11%;70,57%;78,72%;81,21%;80,85%;82,27%;88,48%;81,21%;89,72%;75,89%;84,93%;66,13%;84,57%;89,36%;58,69%;97,34%
150555 - Pau D'Arco;93,66%;68,31%;75,35%;52,82%;66,90%;68,31%;68,31%;90,14%;61,27%;64,79%;68,31%;76,06%;74,65%;76,06%;78,87%;71,13%;75,35%;6,34%;35,21%
150613 - Redenção;123,59%;101,74%;79,11%;86,95%;69,99%;85,09%;101,74%;117,99%;100,39%;100,06%;101,74%;101,35%;99,04%;101,48%;81,75%;94,79%;88,30%;9,25%;36,70%
150616 - Rio Maria;81,06%;93,94%;79,55%;87,88%;68,94%;89,02%;93,94%;83,33%;95,45%;79,17%;93,94%;98,11%;87,50%;93,94%;83,33%;98,48%;106,82%;18,56%;63,26%
150658 - Santa Maria das Barreiras;96,85%;100,00%;86,94%;91,89%;80,18%;95,05%;100,00%;88,29%;109,46%;110,36%;100,00%;101,35%;105,86%;102,70%;91,44%;94,14%;104,50%;58,56%;75,23%
150670 - Santana do Araguaia;42,65%;77,73%;67,46%;71,41%;65,56%;77,09%;77,73%;41,55%;83,10%;77,73%;77,73%;85,78%;81,67%;79,94%;70,62%;81,36%;78,36%;21,33%;54,03%
150730 - São Félix do Xingu;76,31%;73,35%;64,57%;75,74%;55,78%;71,35%;73,26%;73,35%;84,34%;84,72%;73,16%;80,90%;81,57%;77,17%;70,01%;75,74%;78,32%;40,02%;41,64%
150775 - Sapucaia;71,84%;86,41%;66,99%;99,03%;60,19%;83,50%;86,41%;60,19%;91,26%;79,61%;86,41%;91,26%;86,41%;90,29%;74,76%;78,64%;70,87%;47,57%;69,90%
150808 - Tucumã;111,80%;100,00%;89,60%;78,42%;89,29%;99,38%;100,00%;102,33%;100,62%;106,21%;100,00%;106,37%;106,99%;102,64%;92,86%;103,88%;116,77%;53,88%;98,76%
150840 - Xinguara;87,15%;92,37%;81,55%;87,40%;76,21%;89,31%;92,37%;86,01%;110,69%;105,47%;92,37%;97,33%;94,66%;92,49%;84,61%;90,71%;94,53%;56,36%;73,79%
Totais;87,48%;82,19%;71,67%;84,22%;61,74%;81,28%;82,16%;84,75%;87,20%;85,78%;82,15%;92,73%;86,10%;84,90%;76,61%;85,30%;74,45%;39,58%;55,65%
150013 - Abel Figueiredo;103,39%;72,03%;70,34%;80,51%;69,49%;79,66%;72,03%;101,69%;85,59%;77,12%;72,03%;90,68%;81,36%;78,81%;77,97%;89,83%;77,12%;69,49%;65,25%
150157 - Bom Jesus do Tocantins;65,97%;66,39%;84,03%;85,71%;55,04%;75,21%;66,39%;61,76%;62,61%;81,93%;66,39%;63,45%;84,87%;68,07%;84,03%;64,29%;71,01%;38,66%;63,87%
150175 - Brejo Grande do Araguaia;70,33%;112,09%;108,79%;105,49%;91,21%;129,67%;112,09%;74,73%;109,89%;117,58%;112,09%;112,09%;113,19%;112,09%;114,29%;106,59%;106,59%;20,88%;79,12%
150215 - Canaã dos Carajás;107,58%;99,88%;75,09%;94,72%;61,68%;78,57%;99,88%;98,45%;99,63%;87,76%;99,88%;101,12%;86,46%;99,01%;75,78%;92,11%;63,23%;34,66%;50,06%
150277 - Curionópolis;92,00%;98,86%;69,43%;72,00%;68,57%;77,71%;98,00%;84,00%;98,00%;91,14%;98,29%;97,43%;93,14%;106,29%;76,86%;90,00%;84,57%;38,00%;36,86%
150293 - Dom Eliseu;126,68%;85,60%;79,87%;107,53%;73,00%;85,43%;85,60%;132,24%;96,56%;93,29%;85,60%;95,74%;91,65%;91,98%;83,80%;94,60%;85,27%;32,41%;46,64%
150295 - Eldorado do Carajás;81,65%;77,06%;55,73%;72,25%;59,40%;75,92%;77,06%;75,69%;80,28%;70,64%;77,06%;97,02%;80,96%;81,65%;71,10%;90,14%;75,92%;18,12%;44,95%
150370 - Itupiranga;115,65%;85,94%;68,17%;77,59%;71,49%;87,93%;85,94%;121,09%;86,87%;88,86%;85,94%;95,23%;92,84%;89,52%;74,67%;91,11%;80,50%;34,75%;62,33%
150420 - Marabá;62,95%;83,26%;72,96%;90,08%;59,48%;80,72%;83,24%;63,54%;86,87%;80,85%;83,22%;92,22%;87,19%;83,26%;77,02%;85,86%;82,71%;40,29%;62,35%
